[Instruction_Cache] NUMBER SETS: 4
[Instruction_Cache] INDEX BITS: 2
[Instruction_Cache] TAG BITS: 28
[Instruction_Cache] BLOCK OFFSET BITS: 0
[Data_Cache] NUMBER SETS: 4
[Data_Cache] INDEX BITS: 2
[Data_Cache] TAG BITS: 28
[Data_Cache] BLOCK OFFSET BITS: 0
      Time        addr       rdata valid ready          rw        addr       rdata       wdata wstrb valid ready
   1190 ns 0x000000064 0x0001f8f93     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   1200 ns 0x000000064 0x0001f8f93     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   1210 ns 0x000000064 0x0fb9f9ee3     1     1           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   1220 ns 0x000000064 0x0fb9f9ee3     0     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
   1230 ns 0x000000064 0x0fb9f9ee3     0     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   1240 ns 0x000000064 0x0fb9f9ee3     0     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   1250 ns 0x000000064 0x0fb9f9ee3     0     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   1260 ns 0x000000020 0x0fb9f9ee3     1     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   1270 ns 0x000000020 0x0fb9f9ee3     1     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   1280 ns 0x000000020 0x0fb9f9ee3     1     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   1290 ns 0x000000020 0x0fb9f9ee3     1     0           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   1300 ns 0x000000020 0x0001e8e93     1     1           0 0x000000001 0x000000000 0x000000004  0x00     0     0
   1310 ns 0x000000020 0x0001e8e93     0     0           0 0x000000002 0x000000000 0x000000004  0x00     0     0
   1320 ns 0x000000020 0x0001e8e93     0     0           0 0x000000002 0x000000000 0x000000000  0x00     0     0
   1330 ns 0x000000020 0x0001e8e93     0     0           0 0x000000002 0x000000000 0x000000000  0x00     0     0
   1340 ns 0x000000020 0x0001e8e93     0     0           0 0x000000002 0x000000000 0x000000000  0x00     0     0
   1350 ns 0x000000024 0x0001e8e93     1     0           0 0x000000002 0x000000000 0x000000000  0x00     0     0
